,Application mode,Application order,Course,Previous qualification (grade),Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,Target
1069,1,2,9670,111.0,19,19,9,9,114.2,1,0,1,0,0,18,9,4,13.2,10,5,12.8,12.4,0.5,1.79,0
1074,1,1,9238,132.0,37,37,9,5,135.9,0,0,1,0,0,18,11,5,12.4,7,6,13.0,9.4,-0.8,-3.12,0
1075,1,2,9773,116.0,19,19,4,7,110.1,1,0,1,0,0,18,6,6,13.333333333333334,6,6,12.0,11.1,0.6,2.02,0
1079,1,2,9500,112.0,1,37,4,9,106.8,1,0,1,0,1,19,8,6,13.533333333333331,9,7,13.614285714285714,12.4,0.5,1.79,0
1080,1,1,9070,126.0,1,19,4,0,120.1,0,0,1,0,1,20,6,6,13.166666666666666,6,6,12.666666666666666,11.1,0.6,2.02,0
1081,1,2,9254,120.0,19,19,9,9,116.5,1,0,1,0,1,19,9,5,13.2,8,5,11.0,12.4,0.5,1.79,0
1083,1,1,9853,153.0,1,19,9,4,139.7,1,0,1,0,1,19,7,7,13.428571428571429,7,7,14.857142857142858,11.1,0.6,2.02,0
1086,17,1,9670,126.0,12,38,9,5,122.2,0,0,1,0,1,19,6,6,13.666666666666666,9,6,13.666666666666666,8.9,1.4,3.51,0
1087,1,1,9773,133.1,38,19,132,103,146.0,0,1,1,0,0,20,6,5,11.0,6,6,13.166666666666666,16.2,0.3,-0.92,0
1090,17,1,9130,130.0,1,1,4,5,123.8,0,0,1,0,0,18,7,4,12.0,6,5,12.0,7.6,2.6,0.32,0
1094,17,3,9500,136.0,19,1,9,9,129.0,1,0,1,0,1,19,7,7,13.308571428571428,10,8,12.55,12.4,0.5,1.79,0
1097,1,1,9254,130.0,37,38,9,9,133.9,1,0,1,0,0,18,10,5,12.2,8,4,11.25,9.4,-0.8,-3.12,0
1098,1,1,9773,135.0,1,4,5,3,124.9,0,0,1,0,1,20,7,6,12.666666666666666,6,6,12.833333333333334,10.8,1.4,1.74,0
1107,1,3,9500,135.0,38,19,8,8,126.3,1,1,1,0,1,18,8,7,12.65,9,8,12.445555555555554,15.5,2.8,-4.06,0
1109,17,4,9085,138.0,19,36,90,7,134.9,1,0,1,0,0,20,7,4,12.4,9,5,12.666666666666666,7.6,2.6,0.32,0
1110,44,1,9003,140.0,38,38,6,6,140.0,0,0,1,0,0,19,7,6,12.0,7,6,12.666666666666666,12.4,0.5,1.79,0
1111,1,5,9500,126.0,1,19,6,7,115.5,1,0,1,0,1,19,8,7,12.135714285714286,10,7,13.328571428571427,12.4,0.5,1.79,0
1117,1,1,9500,138.0,38,19,9,5,144.3,0,0,1,0,0,20,9,6,12.7,8,7,13.571428571428571,13.9,-0.3,0.79,0
1119,17,1,9500,127.0,19,38,5,9,129.5,1,0,1,0,1,20,7,6,12.333333333333334,7,6,12.333333333333334,7.6,2.6,0.32,0
1121,1,3,9670,111.0,1,1,5,5,105.4,0,0,1,0,0,20,6,5,13.333333333333334,6,5,13.2,7.6,2.6,0.32,0
1124,1,1,9773,152.0,38,37,9,9,139.1,0,0,1,0,1,19,6,6,12.833333333333334,6,6,13.5,16.2,0.3,-0.92,0
1125,1,2,9670,144.0,37,38,9,9,126.9,0,0,1,0,1,21,5,5,13.2,5,4,13.0,9.4,-0.8,-3.12,0
1127,1,1,9238,125.0,37,38,9,9,125.0,1,1,0,0,1,19,8,5,10.6,8,5,11.0,10.8,1.4,1.74,0
1128,1,1,9147,150.0,37,37,9,6,138.5,0,0,1,0,1,18,5,5,14.0,6,5,13.6,12.4,0.5,1.79,0
1129,17,5,9500,143.0,37,38,5,8,133.5,1,0,1,0,1,18,8,7,12.114285714285714,8,7,12.114285714285714,12.7,3.7,-1.7,0
1133,1,1,9500,145.0,19,1,9,5,145.0,0,0,1,0,1,18,7,7,14.071428571428571,8,8,15.1625,13.9,-0.3,0.79,0
1136,1,3,9070,136.0,37,38,9,9,125.2,1,0,1,0,1,18,6,6,14.0,8,6,13.625,10.8,1.4,1.74,0
1137,1,1,9254,145.0,1,38,4,9,131.7,1,0,1,0,1,21,8,6,12.166666666666666,11,3,11.666666666666666,10.8,1.4,1.74,1
1138,17,4,9500,141.0,38,37,3,3,126.3,1,0,1,0,0,18,8,7,13.297142857142855,8,7,13.297142857142855,10.8,1.4,1.74,0
1142,1,1,9670,128.0,1,1,2,2,130.8,1,0,1,0,0,20,5,4,15.0,5,4,13.75,7.6,2.6,0.32,1
1143,1,1,9853,152.0,19,19,9,5,154.1,0,1,1,0,1,18,6,6,13.333333333333334,7,6,12.571428571428571,12.7,3.7,-1.7,0
1145,1,2,8014,107.0,19,11,0,0,103.5,1,0,1,0,0,22,7,5,13.4,9,5,12.2,7.6,2.6,0.32,0
1149,1,1,9500,148.0,19,19,4,4,133.8,0,0,1,0,0,18,8,7,13.485714285714284,8,7,13.485714285714284,12.7,3.7,-1.7,0
1150,1,1,9070,130.0,12,19,4,5,118.5,0,0,1,0,1,18,6,6,12.0,8,6,11.285714285714286,8.9,1.4,3.51,0
1154,1,3,9500,135.0,1,37,7,7,120.5,1,0,1,0,0,19,11,7,13.258571428571427,11,7,13.258571428571427,10.8,1.4,1.74,0
1157,16,4,9254,126.0,38,37,9,7,118.7,1,0,1,0,1,21,7,6,13.571428571428571,6,6,12.5,8.9,1.4,3.51,0
1158,1,2,9773,150.0,1,37,9,7,130.8,0,0,1,0,1,20,9,5,11.8,9,5,11.833333333333334,15.5,2.8,-4.06,0
1159,1,1,9147,121.0,19,19,3,9,112.6,1,0,1,0,1,20,7,5,14.2,7,5,13.285714285714286,11.1,0.6,2.02,0
1162,17,3,9500,139.0,38,1,9,5,131.8,1,0,1,0,0,18,8,7,14.652857142857142,8,7,14.652857142857142,10.8,1.4,1.74,0
1167,43,2,9773,132.0,19,19,0,0,127.1,0,0,1,1,0,23,9,6,12.333333333333334,11,5,13.0,7.6,2.6,0.32,0
1168,17,2,9773,139.0,3,1,2,7,124.0,1,0,1,0,1,20,6,6,14.0,7,6,13.857142857142858,15.5,2.8,-4.06,1
1169,1,1,9670,135.0,19,37,5,7,121.4,0,0,1,1,0,21,7,4,11.5,6,4,11.75,9.4,-0.8,-3.12,0
1170,1,1,9147,117.0,38,19,5,7,118.1,0,0,1,1,0,19,6,5,11.2,5,5,13.2,12.4,0.5,1.79,0
1171,17,4,9500,137.0,1,19,4,3,121.3,1,0,1,1,1,18,8,7,15.07,8,7,15.07,10.8,1.4,1.74,0
1174,18,1,9670,140.0,1,37,9,9,130.2,1,0,1,1,0,22,11,4,13.0,11,4,12.6,12.7,3.7,-1.7,0
1175,17,4,9254,130.0,19,1,5,5,130.0,1,0,1,1,0,18,7,4,11.0,7,3,11.25,16.2,0.3,-0.92,1
1176,16,2,9238,130.0,37,37,5,6,126.9,1,0,1,0,0,18,8,6,13.571428571428571,11,5,12.166666666666666,9.4,-0.8,-3.12,0
1179,18,1,9556,140.0,38,37,9,9,122.8,0,0,1,0,1,19,11,7,12.625,11,8,12.5125,12.7,3.7,-1.7,0
1182,1,3,9500,133.1,19,19,5,5,108.5,1,0,1,0,0,19,9,7,12.60625,12,6,11.9,12.4,0.5,1.79,0
1185,1,1,9238,135.0,19,19,9,9,124.5,0,0,1,0,1,18,11,5,11.142857142857142,8,6,12.285714285714286,16.2,0.3,-0.92,0
1188,17,1,9254,128.0,19,1,5,7,120.7,1,1,1,0,0,18,8,6,11.666666666666666,10,4,11.5,13.9,-0.3,0.79,0
1189,1,1,9670,141.0,1,19,4,4,132.6,0,0,1,0,1,18,8,6,14.0,7,6,13.142857142857142,11.1,0.6,2.02,0
1191,1,6,9500,139.0,1,1,4,4,124.5,1,0,1,0,0,19,9,7,12.04142857142857,9,7,12.04142857142857,10.8,1.4,1.74,0
1198,1,1,9238,147.0,1,19,4,4,137.2,0,0,0,0,0,18,6,6,14.5,6,6,15.166666666666666,10.8,1.4,1.74,0
1199,7,1,9085,140.0,1,19,5,5,140.0,1,0,1,0,0,23,7,6,15.571428571428571,8,6,16.375,12.4,0.5,1.79,0
1200,1,1,9130,161.0,1,19,4,4,152.3,0,0,1,0,0,18,7,6,15.571428571428571,7,6,14.714285714285714,11.1,0.6,2.02,0
1203,1,6,9238,113.0,1,38,194,163,112.3,1,1,1,0,1,20,8,5,11.6,8,4,11.75,8.9,1.4,3.51,0
1216,17,4,9238,124.0,19,19,5,8,117.7,1,0,1,0,0,18,10,5,12.0,11,4,12.0,16.2,0.3,-0.92,0
1218,1,2,9500,140.0,1,1,4,10,128.3,1,0,1,0,0,19,8,7,12.764285714285714,8,7,12.764285714285714,10.8,1.4,1.74,0
1219,18,2,9147,143.0,19,38,9,7,132.2,1,0,1,0,1,18,8,5,13.75,6,5,12.166666666666666,13.9,-0.3,0.79,0
1221,1,1,9500,132.0,19,1,9,5,123.4,0,0,1,0,1,18,7,7,14.604285714285712,9,8,15.68333333333333,11.1,0.6,2.02,0
1227,17,1,9238,145.0,38,38,5,7,138.0,1,0,1,0,0,20,11,5,11.2,6,6,12.0,9.4,-0.8,-3.12,0
1230,1,1,9238,120.0,19,38,5,6,112.3,0,0,1,0,1,22,10,5,10.714285714285714,10,5,12.2,12.7,3.7,-1.7,0
1231,1,1,9238,122.0,1,19,4,4,127.3,1,1,1,0,0,20,6,6,12.166666666666666,7,6,11.666666666666666,9.4,-0.8,-3.12,0
1233,17,2,9773,133.1,3,1,4,5,115.0,1,0,1,0,0,19,6,6,12.833333333333334,6,6,12.666666666666666,16.2,0.3,-0.92,0
1234,17,6,9500,150.0,1,37,1,1,131.5,1,0,1,0,0,19,8,7,13.925714285714283,8,7,13.925714285714283,10.8,1.4,1.74,0
1236,1,6,9500,141.0,1,37,4,3,126.8,1,0,1,0,0,18,7,7,13.44285714285714,9,8,13.744444444444444,16.2,0.3,-0.92,0
1238,44,1,9003,150.0,38,37,9,9,150.0,1,0,1,1,0,20,8,6,13.125,10,6,13.2,16.2,0.3,-0.92,0
1246,1,1,9238,128.0,19,19,9,9,120.0,0,0,1,0,1,18,8,6,13.5,9,6,12.833333333333334,11.1,0.6,2.02,0
1250,1,1,9254,158.0,19,39,4,8,153.5,1,0,1,0,0,20,7,6,14.833333333333334,6,6,16.0,11.1,0.6,2.02,0
1251,43,1,9773,137.0,38,37,9,5,127.9,1,0,1,0,0,20,6,6,11.833333333333334,7,6,12.857142857142858,15.5,2.8,-4.06,0
1252,17,3,9670,123.0,38,38,7,8,118.8,1,0,1,0,1,18,10,5,12.0,11,5,12.333333333333334,11.1,0.6,2.02,0
1253,1,1,9238,126.0,38,38,7,8,126.7,1,0,1,0,0,19,11,4,12.75,7,6,11.333333333333334,7.6,2.6,0.32,0
1256,17,1,9238,115.0,19,38,5,5,115.0,1,0,1,0,0,19,6,6,12.0,7,6,12.857142857142858,11.1,0.6,2.02,0
1257,1,3,9556,132.0,38,37,7,7,119.0,1,0,1,0,0,19,9,7,11.677777777777775,8,8,13.8,12.7,3.7,-1.7,0
1258,1,4,9500,132.0,1,37,4,7,121.8,1,0,1,0,1,19,8,7,13.6,8,7,13.6,12.7,3.7,-1.7,0
1259,1,1,9085,143.0,19,38,9,9,133.4,1,0,1,0,0,19,7,6,16.0,8,6,15.875,12.4,0.5,1.79,0
1260,1,3,9238,137.0,1,1,3,3,131.4,1,0,1,0,0,20,9,5,11.8,7,6,11.5,7.6,2.6,0.32,0
1264,18,2,9500,135.0,38,37,9,5,125.3,1,0,1,0,1,18,8,7,11.785714285714286,8,7,11.785714285714286,12.7,3.7,-1.7,0
1267,17,2,9500,127.0,19,37,9,7,121.3,1,0,1,0,1,20,8,7,12.464285714285714,8,7,12.464285714285714,10.8,1.4,1.74,0
1271,43,1,9147,131.0,19,38,9,9,129.7,1,0,1,0,0,19,5,5,12.6,6,4,12.4,16.2,0.3,-0.92,0
1275,17,2,9254,136.0,19,19,4,7,123.1,1,0,1,0,0,19,8,6,12.166666666666666,6,6,13.5,11.1,0.6,2.02,0
1276,17,5,9670,125.0,1,19,9,7,119.4,1,0,1,0,0,18,10,4,13.6,7,5,12.666666666666666,11.1,0.6,2.02,0
1279,17,1,9238,120.0,19,37,9,9,113.0,1,0,1,0,1,20,7,6,11.714285714285714,8,6,12.625,13.9,-0.3,0.79,0
1280,1,3,9773,143.0,19,19,4,9,133.9,1,0,1,1,1,18,7,6,13.5,7,6,13.0,16.2,0.3,-0.92,0
1281,1,3,9500,133.1,38,19,7,9,115.5,1,0,1,1,1,20,8,7,13.024285714285714,8,7,13.024285714285714,10.8,1.4,1.74,0
1284,1,1,9670,124.0,19,37,5,7,119.1,0,0,1,1,1,20,7,4,11.0,7,4,11.5,9.4,-0.8,-3.12,0
1285,17,2,9853,127.0,19,38,3,3,121.1,1,0,1,1,0,19,10,6,13.666666666666666,9,6,12.5,12.4,0.5,1.79,1
1287,1,1,9238,137.0,19,1,9,9,132.8,0,0,1,1,0,19,6,6,12.833333333333334,8,6,11.833333333333334,10.8,1.4,1.74,0
1288,1,1,9773,120.0,36,37,0,0,126.7,1,0,1,1,0,20,9,5,12.6,11,4,11.5,7.6,2.6,0.32,0
1289,1,1,9500,110.0,19,19,9,7,105.8,1,0,1,1,0,22,8,6,14.333333333333334,9,7,13.771428571428572,11.1,0.6,2.02,0
1291,1,1,9500,143.0,38,38,9,9,140.0,0,0,1,1,0,19,8,7,14.285714285714286,8,7,14.285714285714286,12.7,3.7,-1.7,0
1293,17,5,9119,124.0,4,12,2,9,119.5,1,0,1,1,0,20,5,5,14.8,5,5,17.6,8.9,1.4,3.51,0
1304,1,2,9773,137.0,1,19,7,7,133.2,1,0,1,0,1,19,7,6,14.714285714285714,6,6,15.0,13.9,-0.3,0.79,0
1305,1,3,9773,130.0,19,19,9,9,123.0,1,0,1,0,0,18,6,6,12.666666666666666,7,6,12.833333333333334,12.7,3.7,-1.7,0
1307,17,3,9147,147.0,19,38,5,7,132.3,1,0,1,0,1,18,5,5,13.4,6,5,12.2,12.7,3.7,-1.7,0
1308,18,1,9500,140.0,37,38,5,7,126.0,1,0,1,0,0,18,8,7,13.314285714285717,8,7,13.314285714285717,12.7,3.7,-1.7,0
1309,1,3,9500,132.0,38,38,9,9,119.3,1,0,1,0,0,19,8,7,11.98857142857143,8,7,11.98857142857143,10.8,1.4,1.74,0
1313,1,4,9500,144.0,3,39,2,3,129.0,1,0,1,0,0,18,8,7,12.65,9,8,13.411111111111111,16.2,0.3,-0.92,1
1315,17,2,9500,131.0,19,37,9,7,129.8,1,0,1,0,0,20,8,6,14.37,10,7,14.65,12.4,0.5,1.79,0
1319,17,2,9853,131.0,1,38,4,8,121.9,1,0,1,0,0,19,10,5,12.6,7,5,11.2,10.8,1.4,1.74,0
1320,1,5,9238,135.0,1,38,9,3,129.4,0,1,1,0,0,18,6,6,12.166666666666666,6,6,12.333333333333334,10.8,1.4,1.74,0
1323,17,6,9556,118.0,38,38,5,5,117.8,1,0,1,0,1,19,11,6,12.4,8,6,12.8,11.1,0.6,2.02,0
1325,1,2,9500,152.0,37,37,9,9,139.0,1,0,1,0,0,18,7,6,14.333333333333334,7,6,14.333333333333334,7.6,2.6,0.32,0
1328,1,4,9500,123.0,1,1,3,3,113.6,1,0,1,0,0,21,8,7,14.69625,9,8,14.622222222222224,12.4,0.5,1.79,0
1330,17,3,9556,131.0,19,38,9,7,128.5,0,0,1,0,1,18,9,7,12.855555555555556,8,8,13.9125,12.7,3.7,-1.7,0
1331,1,1,9500,141.0,1,1,3,10,142.8,0,0,1,0,0,18,7,7,13.7,9,8,13.994444444444444,11.1,0.6,2.02,0
1334,1,1,9500,133.0,38,38,5,5,123.2,0,0,1,0,0,18,7,7,13.285714285714286,9,8,13.333333333333334,16.2,0.3,-0.92,0
1339,18,1,9500,130.0,37,38,7,8,119.3,1,0,1,0,1,19,8,7,11.4,8,7,11.4,10.8,1.4,1.74,0
1341,1,5,9773,138.0,19,19,9,9,139.4,1,0,1,0,0,18,7,5,12.8,10,4,12.2,10.8,1.4,1.74,0
1343,1,1,9853,133.0,37,37,9,7,124.6,1,0,1,0,1,18,8,5,13.0,9,5,13.5,9.4,-0.8,-3.12,0
1344,17,1,9070,122.0,1,1,4,8,123.8,1,1,0,0,1,18,6,6,11.833333333333334,8,6,11.0,12.7,3.7,-1.7,1
1345,1,3,9085,138.0,1,3,4,4,126.3,1,0,1,0,0,18,8,6,14.0,9,6,13.333333333333334,8.9,1.4,3.51,0
1346,17,4,9773,134.0,1,1,3,3,120.4,1,0,1,0,1,18,6,6,12.333333333333334,6,6,13.5,16.2,0.3,-0.92,0
1351,1,3,9500,141.0,19,19,9,9,126.0,1,0,1,0,0,18,8,7,15.657142857142857,8,7,15.657142857142857,12.7,3.7,-1.7,0
1352,1,2,9070,145.0,1,19,4,3,133.5,0,0,1,0,0,19,6,6,12.166666666666666,6,6,11.333333333333334,12.7,3.7,-1.7,0
1361,1,4,9500,139.0,37,38,9,9,124.0,1,0,1,1,1,18,8,7,13.331428571428573,8,7,13.331428571428573,10.8,1.4,1.74,0
1364,1,1,9500,138.0,19,37,4,9,141.0,0,0,1,1,0,19,7,6,13.7,7,6,13.7,7.6,2.6,0.32,0
1367,1,6,9500,134.0,38,38,9,9,122.0,1,0,1,1,0,19,8,7,12.2,8,7,12.2,12.7,3.7,-1.7,0
1369,53,1,9670,110.0,1,19,9,9,114.2,0,0,1,1,1,23,7,5,13.0,7,6,12.857142857142858,8.9,1.4,3.51,0
1371,1,1,9500,129.0,1,1,9,9,120.0,0,0,1,1,0,20,8,7,15.028571428571428,8,7,15.028571428571428,12.7,3.7,-1.7,0
1372,1,1,9238,116.0,1,19,5,9,111.1,0,0,1,1,0,18,8,6,12.0,7,6,11.714285714285714,15.5,2.8,-4.06,0
1373,1,1,9773,130.0,1,38,3,5,128.6,1,0,1,1,0,19,8,5,12.0,8,5,12.4,9.4,-0.8,-3.12,0
1380,18,1,9556,133.1,3,19,2,8,106.0,1,0,1,1,0,21,8,7,12.375,11,5,12.583333333333334,8.9,1.4,3.51,0
1383,1,1,9500,148.0,19,38,9,8,134.8,1,0,1,1,0,18,7,6,13.35,7,6,13.35,7.6,2.6,0.32,0
1387,1,3,9147,133.0,37,37,9,5,119.7,1,0,1,1,0,19,8,5,13.25,6,5,11.833333333333334,13.9,-0.3,0.79,0
1391,1,2,9254,127.0,3,19,3,10,130.9,1,0,1,0,0,18,8,6,11.333333333333334,8,5,12.6,9.4,-0.8,-3.12,0
1393,17,1,9238,132.0,1,19,4,9,127.1,1,0,1,0,0,19,7,6,12.857142857142858,7,6,13.666666666666666,13.9,-0.3,0.79,0
1394,17,5,9773,113.0,38,38,191,175,110.2,1,1,1,0,0,19,6,5,11.6,6,6,12.5,8.9,1.4,3.51,0
1395,17,1,9254,115.0,12,1,9,3,108.7,1,0,1,0,1,18,9,5,11.4,6,6,11.333333333333334,12.4,0.5,1.79,0
1399,17,1,9853,141.0,19,19,9,8,142.8,0,0,1,0,1,19,7,7,14.428571428571429,7,7,14.142857142857142,16.2,0.3,-0.92,0
1401,1,2,9254,136.0,38,38,9,7,125.2,1,0,1,0,1,18,8,6,12.285714285714286,9,5,12.4,8.9,1.4,3.51,0
1402,1,1,9085,140.0,12,1,1,90,141.8,0,0,1,0,0,21,7,5,14.4,5,5,13.8,7.6,2.6,0.32,0
1403,17,5,9500,143.0,38,1,9,7,130.6,1,0,1,0,1,18,8,7,13.15,9,8,15.06875,13.9,-0.3,0.79,0
1406,18,2,9500,129.0,38,37,5,5,119.0,1,0,1,0,1,19,8,7,12.342857142857143,8,7,12.342857142857143,10.8,1.4,1.74,0
1409,15,1,9147,150.0,38,1,9,1,150.0,0,0,1,1,0,19,5,5,10.6,8,5,11.6,12.4,0.5,1.79,0
1411,16,2,9238,122.0,19,37,9,7,127.3,1,0,1,0,1,19,8,4,11.25,6,6,12.0,10.8,1.4,1.74,0
1414,18,3,9500,131.0,19,1,4,7,127.5,1,0,1,0,0,18,7,7,13.457142857142856,8,8,14.5125,13.9,-0.3,0.79,0
1415,1,2,9085,130.0,19,19,90,90,122.0,0,0,1,0,0,20,6,5,12.6,8,4,12.333333333333334,7.6,2.6,0.32,0
1417,17,1,9670,130.0,3,19,5,5,121.6,0,0,1,0,0,18,6,6,13.666666666666666,8,5,13.6,8.9,1.4,3.51,0
1418,17,4,9147,122.0,19,19,5,7,116.4,1,1,1,0,1,18,5,5,11.6,5,5,11.8,11.1,0.6,2.02,0
1420,17,4,9853,143.0,37,37,9,5,127.3,1,0,1,0,0,18,7,5,11.8,7,5,11.4,10.8,1.4,1.74,1
1422,17,3,9238,141.0,19,38,9,7,125.6,1,0,1,0,1,19,8,6,11.333333333333334,6,6,11.833333333333334,8.9,1.4,3.51,0
1423,1,1,9254,129.0,38,38,6,6,118.5,1,0,1,0,0,18,6,6,10.666666666666666,6,6,11.5,7.6,2.6,0.32,0
1429,17,1,9773,120.0,19,38,9,7,117.9,1,0,1,0,1,21,6,5,13.0,7,6,12.833333333333334,8.9,1.4,3.51,0
1430,1,3,9500,144.0,38,38,5,7,128.0,1,0,1,0,1,18,11,7,12.90857142857143,11,7,12.90857142857143,10.8,1.4,1.74,0
1438,18,1,9670,133.0,1,1,9,9,121.5,1,0,1,0,1,19,7,6,13.0,6,6,14.333333333333334,12.4,0.5,1.79,0
1440,1,5,9670,142.0,19,19,7,3,132.9,0,0,1,1,0,19,5,4,12.5,5,4,14.25,7.6,2.6,0.32,0
1442,17,6,9254,125.0,1,1,4,3,120.5,1,0,1,1,0,18,6,6,14.0,6,6,14.666666666666666,11.1,0.6,2.02,0
1447,17,3,9119,138.0,1,19,4,3,125.4,1,0,1,1,1,18,9,4,12.25,9,3,12.333333333333334,8.9,1.4,3.51,1
1450,17,1,9130,132.0,2,1,4,1,127.8,0,0,1,1,0,18,9,6,12.0,10,5,12.166666666666666,11.1,0.6,2.02,1
1461,44,1,9003,150.0,38,38,9,8,150.0,1,0,1,1,0,20,8,5,12.857142857142858,11,6,12.3,16.2,0.3,-0.92,0
1469,1,3,9254,123.0,1,1,4,3,123.4,1,0,1,1,0,18,8,6,12.333333333333334,6,6,13.666666666666666,11.1,0.6,2.02,0
1472,17,1,9773,130.0,19,38,4,9,126.2,0,0,1,1,1,18,7,6,11.333333333333334,8,6,12.285714285714286,16.2,0.3,-0.92,0
1482,1,2,9670,140.0,3,1,2,6,137.6,1,0,1,1,1,21,8,6,15.166666666666666,7,6,14.428571428571429,8.9,1.4,3.51,0
1483,17,1,9254,126.0,1,1,9,9,124.3,0,0,1,0,1,19,8,6,11.166666666666666,7,4,13.4,16.2,0.3,-0.92,0
1485,18,2,9238,121.0,19,1,4,3,121.4,1,0,1,0,1,19,8,4,10.75,11,5,11.5,15.5,2.8,-4.06,0
1491,1,1,9773,133.1,1,3,9,9,116.0,0,0,1,1,0,20,8,6,11.5,8,6,11.0,16.2,0.3,-0.92,0
1495,7,1,9119,140.0,3,1,2,5,140.0,0,0,1,1,0,23,5,5,13.8,7,5,14.142857142857142,11.1,0.6,2.02,0
1496,43,1,9556,130.0,1,37,5,5,128.0,1,0,1,1,0,20,8,7,13.585714285714284,8,8,14.6875,15.5,2.8,-4.06,0
1497,17,2,9670,110.0,1,1,4,10,115.3,1,0,1,1,0,19,8,6,13.857142857142858,8,5,13.0,15.5,2.8,-4.06,0
1500,1,1,9070,138.0,38,37,3,3,133.1,0,0,1,1,0,18,6,6,14.0,7,6,13.857142857142858,8.9,1.4,3.51,0
1513,10,1,9254,115.0,3,1,9,9,116.1,1,0,1,0,0,19,6,6,13.5,6,6,14.333333333333334,12.4,0.5,1.79,0
1523,1,1,9670,125.0,19,1,7,4,122.6,0,0,1,1,0,21,7,5,11.166666666666666,5,4,11.0,9.4,-0.8,-3.12,1
1525,1,1,9500,151.0,1,1,4,3,132.3,0,0,1,1,0,19,9,7,12.828571428571427,9,7,12.828571428571427,12.7,3.7,-1.7,0
1526,17,1,9773,112.0,1,1,5,1,111.7,0,1,0,1,0,19,6,6,12.5,10,4,12.6,15.5,2.8,-4.06,1
1528,15,1,9254,140.0,19,1,9,7,140.0,1,0,0,0,0,21,6,6,11.5,10,4,13.25,13.9,-0.3,0.79,0
1529,10,1,9500,140.0,3,3,2,9,140.0,1,1,0,0,0,23,11,7,11.328571428571427,11,7,11.328571428571427,12.7,3.7,-1.7,1
1531,17,3,9500,143.0,38,1,9,5,133.8,1,0,1,0,0,18,7,6,13.033333333333331,7,6,13.033333333333331,7.6,2.6,0.32,0
1537,1,1,9238,141.0,38,19,9,10,125.6,1,0,1,0,1,18,6,6,12.666666666666666,6,6,12.0,9.4,-0.8,-3.12,0
1565,17,6,9238,135.0,1,19,7,7,126.6,1,0,1,0,1,19,8,6,13.625,7,6,12.166666666666666,12.7,3.7,-1.7,0
1566,17,5,9500,144.0,19,38,9,5,130.7,1,0,1,0,1,18,8,7,14.85,9,8,15.61111111111111,13.9,-0.3,0.79,0
1567,1,2,9147,108.0,1,19,4,4,105.9,1,0,1,1,0,21,9,4,10.75,6,5,11.4,11.1,0.6,2.02,0
1580,1,1,9773,146.0,37,37,9,7,149.2,1,0,1,1,1,21,6,6,13.5,6,6,14.166666666666666,12.7,3.7,-1.7,0
1583,17,1,9853,119.0,37,38,9,9,125.0,1,0,1,0,1,21,9,5,12.0,8,5,11.2,10.8,1.4,1.74,1
1584,1,1,9773,132.0,37,19,9,9,131.0,1,0,1,0,1,18,8,5,13.0,7,6,13.0,15.5,2.8,-4.06,0
1589,17,2,8014,134.0,1,19,4,99,126.0,1,0,1,1,0,22,7,6,12.666666666666666,6,6,12.166666666666666,7.6,2.6,0.32,0
1598,17,1,9238,136.0,37,37,7,7,140.9,1,0,1,1,0,18,10,4,12.0,7,5,11.8,9.4,-0.8,-3.12,1
1599,17,1,9773,117.0,38,38,9,9,111.1,0,1,1,1,0,19,6,4,11.25,6,3,11.333333333333334,16.2,0.3,-0.92,1
1603,44,1,9003,120.0,19,38,6,6,120.0,1,0,1,1,0,19,8,6,12.142857142857142,11,5,13.6,12.4,0.5,1.79,0
1609,1,2,9070,145.0,38,19,7,7,130.0,1,0,1,1,0,18,7,6,12.833333333333334,7,6,12.571428571428571,8.9,1.4,3.51,0
1612,17,2,9500,125.0,19,19,5,5,114.5,1,0,1,0,0,18,11,6,11.983333333333334,12,8,12.28125,16.2,0.3,-0.92,0
1618,1,2,9773,130.0,19,1,9,9,126.9,1,0,1,0,1,19,8,6,13.166666666666666,6,6,13.0,11.1,0.6,2.02,1
1620,18,1,9670,128.0,19,3,9,7,120.0,1,0,1,0,0,19,8,6,14.125,10,5,14.5,11.1,0.6,2.02,0
1637,1,1,9500,121.0,1,1,4,4,114.9,0,0,1,1,1,21,9,6,13.342857142857143,10,7,11.65,12.4,0.5,1.79,0
1640,1,4,9500,128.0,1,37,4,3,117.9,1,0,1,0,1,19,9,7,12.1375,9,8,12.91111111111111,12.4,0.5,1.79,0
1642,17,5,9500,137.0,1,1,4,4,127.6,1,0,1,0,0,18,7,7,13.528571428571428,9,8,14.655555555555557,12.4,0.5,1.79,0
1643,17,2,8014,122.0,37,19,9,9,123.8,0,0,1,0,0,20,8,5,12.0,8,6,11.0,10.8,1.4,1.74,0
1647,43,1,9500,140.0,1,38,4,7,100.0,0,0,1,0,1,18,8,7,13.6375,8,8,14.3875,13.9,-0.3,0.79,0
1649,1,1,9500,138.0,1,38,4,9,132.5,1,0,1,0,1,19,8,7,14.36,8,7,14.36,10.8,1.4,1.74,0
